GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0500000US06001,06001,"Alameda County, California",1510271,1510261,1513402,1532215,1556648,1582936,1611572,1637141,1653236,1663190
0500000US06003,06003,"Alpine County, California",1175,1175,1161,1093,1110,1127,1084,1088,1057,1120
0500000US06005,06005,"Amador County, California",38091,38091,37884,37539,37112,36635,36748,37047,37473,38626
0500000US06007,06007,"Butte County, California",220000,220002,219957,220003,220969,221768,223629,224818,226525,229294
0500000US06009,06009,"Calaveras County, California",45578,45578,45470,45163,44826,44667,44677,44954,45315,45670
0500000US06011,06011,"Colusa County, California",21419,21419,21453,21366,21350,21336,21268,21341,21645,21805
0500000US06013,06013,"Contra Costa County, California",1049025,1049200,1052799,1066182,1079093,1095310,1110971,1126027,1138645,1147439
0500000US06015,06015,"Del Norte County, California",28610,28610,28566,28447,28203,27830,27206,27253,27450,27470
0500000US06017,06017,"El Dorado County, California",181058,181058,181149,180975,180680,181618,183333,184865,186272,188987
0500000US06019,06019,"Fresno County, California",930450,930495,932218,940360,946851,953787,963170,972333,979534,989255
0500000US06021,06021,"Glenn County, California",28122,28122,28130,28160,27894,27866,27909,27841,27967,28094
0500000US06023,06023,"Humboldt County, California",134623,134623,135019,135239,134596,134444,134584,135219,136449,136754
0500000US06025,06025,"Imperial County, California",174528,174528,174778,176157,177241,177267,178868,179839,180980,182830
0500000US06027,06027,"Inyo County, California",18546,18546,18517,18401,18370,18377,18340,18197,18034,18026
0500000US06029,06029,"Kern County, California",839631,839621,841116,848767,855237,864014,871895,879607,885086,893119
0500000US06031,06031,"Kings County, California",152982,152982,152404,152030,151265,150675,149862,150482,149797,150101
0500000US06033,06033,"Lake County, California",64665,64665,64742,64273,64005,63855,64113,64310,63950,64246
0500000US06035,06035,"Lassen County, California",34895,34895,34831,34244,33632,32135,31716,31393,30944,31163
0500000US06037,06037,"Los Angeles County, California",9818605,9818696,9824490,9885998,9956152,10018604,10072695,10123248,10150558,10163507
0500000US06039,06039,"Madera County, California",150865,150843,151037,151876,151900,151819,154103,154423,154966,156890
0500000US06041,06041,"Marin County, California",252409,252419,252940,255505,256381,258856,261007,261718,261532,260955
0500000US06043,06043,"Mariposa County, California",18251,18250,18280,18174,17893,17820,17730,17649,17524,17569
0500000US06045,06045,"Mendocino County, California",87841,87840,87799,87367,87376,87164,87375,87318,87609,88018
0500000US06047,06047,"Merced County, California",255793,255798,256772,259607,261407,262712,265281,267406,268878,272673
0500000US06049,06049,"Modoc County, California",9686,9686,9699,9515,9359,9154,9083,9050,8941,8859
0500000US06051,06051,"Mono County, California",14202,14202,14204,14329,14248,13997,14072,13954,14101,14168
0500000US06053,06053,"Monterey County, California",415057,415052,416475,421162,426094,428382,430416,432774,436363,437907
0500000US06055,06055,"Napa County, California",136484,136530,136794,137905,138876,139978,140918,141507,141649,140973
0500000US06057,06057,"Nevada County, California",98764,98748,98791,98714,98173,97992,98614,98715,99053,99814
0500000US06059,06059,"Orange County, California",3010232,3010265,3017116,3053465,3085386,3113649,3136750,3160576,3177703,3190400
0500000US06061,06061,"Placer County, California",348432,348494,350034,356445,360569,365822,369727,373469,379742,386166
0500000US06063,06063,"Plumas County, California",20007,20007,19914,19716,19377,18899,18667,18525,18787,18742
0500000US06065,06065,"Riverside County, California",2189641,2189753,2202001,2235890,2264804,2291406,2321738,2352080,2386522,2423266
0500000US06067,06067,"Sacramento County, California",1418788,1418742,1421651,1434506,1446585,1459474,1477522,1496130,1513260,1530615
0500000US06069,06069,"San Benito County, California",55269,55269,55532,56034,56701,57370,57974,58364,59335,60310
0500000US06071,06071,"San Bernardino County, California",2035210,2035212,2041234,2062381,2076601,2086732,2104038,2120794,2137131,2157404
0500000US06073,06073,"San Diego County, California",3095313,3095342,3103793,3139767,3179798,3216522,3256875,3290044,3317200,3337685
0500000US06075,06075,"San Francisco County, California",805235,805193,805770,816294,830406,841270,853258,866320,876103,884363
0500000US06077,06077,"San Joaquin County, California",685306,685308,687291,695071,700958,703747,713452,723846,734294,745424
0500000US06079,06079,"San Luis Obispo County, California",269637,269591,269819,271150,274378,275973,278534,280402,282282,283405
0500000US06081,06081,"San Mateo County, California",718451,718500,719899,729022,740644,750345,759156,766779,769561,771410
0500000US06083,06083,"Santa Barbara County, California",423895,423949,424338,426058,430827,435980,440628,443927,446296,448150
0500000US06085,06085,"Santa Clara County, California",1781642,1781671,1786542,1813812,1841868,1870935,1896246,1919220,1931575,1938153
0500000US06087,06087,"Santa Cruz County, California",262382,262366,263216,265103,266794,269395,271529,274299,275196,275897
0500000US06089,06089,"Shasta County, California",177223,177223,177284,177595,177917,178445,178983,178472,178774,179921
0500000US06091,06091,"Sierra County, California",3240,3240,3221,3100,3068,3030,2979,2994,2964,2999
0500000US06093,06093,"Siskiyou County, California",44900,44900,44939,44614,44082,43543,43390,43351,43511,43853
0500000US06095,06095,"Solano County, California",413344,413344,414076,416652,420267,424384,429993,434751,440318,445458
0500000US06097,06097,"Sonoma County, California",483878,483870,484827,487822,490740,495007,499563,502096,503833,504217
0500000US06099,06099,"Stanislaus County, California",514453,514451,515242,518034,521349,524625,529544,535000,541353,547899
0500000US06101,06101,"Sutter County, California",94737,94743,94764,94560,94342,94702,94983,95524,96058,96648
0500000US06103,06103,"Tehama County, California",63463,63440,63563,63347,63241,62916,62820,63128,63444,63926
0500000US06105,06105,"Trinity County, California",13786,13780,13749,13677,13482,13422,13122,13092,12839,12709
0500000US06107,06107,"Tulare County, California",442179,442178,443060,447358,450779,453663,456452,458601,460835,464493
0500000US06109,06109,"Tuolumne County, California",55365,55365,55188,54832,54237,54018,53852,53589,53787,54248
0500000US06111,06111,"Ventura County, California",823318,823391,825298,830990,835143,840175,844749,848925,851096,854223
0500000US06113,06113,"Yolo County, California",200849,200850,201101,202082,204890,206650,208873,212428,215959,219116
0500000US06115,06115,"Yuba County, California",72155,72146,72351,72511,72832,73159,73642,74201,75185,77031
