county,Year,median_oxy_Result
Alameda,2010,7.29
Alameda,2011,18.5
Alameda,2012,9.68
Alameda,2013,8.77
Alameda,2014,8.91
Alameda,2015,8.5
Alameda,2016,11.530000000000001
Alameda,2017,8.5
Alpine,2010,10.0
Alpine,2011,9.6
Alpine,2012,8.835
Alpine,2013,8.685
Alpine,2014,8.13
Alpine,2015,7.93
Alpine,2016,8.35
Alpine,2017,9.799998500000001
Amador,2010,10.33
Amador,2011,10.6
Amador,2012,10.12
Amador,2013,9.37
Amador,2014,10.51
Amador,2015,7.6
Amador,2016,7.25
Amador,2017,7.4
Butte,2010,9.69
Butte,2011,10.12
Butte,2012,9.7
Butte,2013,9.48
Butte,2014,8.559999999999999
Butte,2015,5.98
Butte,2016,6.52
Calaveras,2010,11.63
Calaveras,2011,9.530000000000001
Calaveras,2012,10.45
Calaveras,2013,9.35
Calaveras,2014,8.575
Calaveras,2015,7.59
Colusa,2010,8.08
Colusa,2011,8.04
Colusa,2012,8.4
Colusa,2013,8.61
Colusa,2014,7.445
Colusa,2015,7.949999999999999
Colusa,2016,7.72
Contra Costa,2010,9.8
Contra Costa,2011,9.41
Contra Costa,2012,9.5
Contra Costa,2013,7.73
Contra Costa,2014,6.44
Contra Costa,2015,5.279999999999999
Contra Costa,2016,4.82
Contra Costa,2017,7.425
Del Norte,2010,9.95
Del Norte,2011,6.82
Del Norte,2012,12.7
Del Norte,2013,11.78
Del Norte,2014,10.379999999999999
Del Norte,2015,12.49
El Dorado,2010,9.114999999999998
El Dorado,2011,7.9
El Dorado,2012,9.32
El Dorado,2013,8.59
El Dorado,2014,8.74
El Dorado,2015,7.88
El Dorado,2016,8.1
El Dorado,2017,8.1
Fresno,2010,10.3
Fresno,2011,9.915
Fresno,2012,7.7
Fresno,2013,10.09
Fresno,2014,8.77
Fresno,2015,8.135
Fresno,2016,4.5600000000000005
Glenn,2010,9.165
Glenn,2011,9.765
Glenn,2012,7.6
Glenn,2013,8.82
Glenn,2014,7.93
Glenn,2015,9.575
Glenn,2016,8.57
Glenn,2017,9.73
Humboldt,2010,12.62
Humboldt,2011,9.1
Humboldt,2012,12.26
Humboldt,2013,15.41
Humboldt,2014,9.78
Humboldt,2015,9.1
Imperial,2010,11.74
Imperial,2011,22.6
Imperial,2012,23.849999999999998
Imperial,2013,23.535
Imperial,2014,7.34
Imperial,2015,35.82
Inyo,2010,13.2
Inyo,2011,8.33
Inyo,2012,13.3
Inyo,2013,10.7
Inyo,2014,12.75
Inyo,2015,13.82
Kern,2010,7.7
Kern,2011,8.575
Kern,2012,7.140000000000001
Kern,2013,8.1
Kern,2014,8.945
Kings,2010,8.975000000000001
Kings,2011,9.620000000000001
Kings,2012,7.56
Kings,2013,7.715
Kings,2014,10.16
Lake,2010,9.7
Lake,2011,10.08
Lake,2012,9.41
Lake,2013,9.71
Lake,2014,7.775
Lake,2015,7.765000000000001
Lake,2016,8.155
Lake,2017,9.100000000000001
Lassen,2010,9.38
Lassen,2011,13.15
Lassen,2012,13.8
Lassen,2013,13.6
Lassen,2014,11.4
Los Angeles,2010,8.45
Los Angeles,2011,9.620000000000001
Los Angeles,2012,8.05
Los Angeles,2013,8.0
Los Angeles,2014,7.8
Los Angeles,2015,7.8
Los Angeles,2016,8.0
Los Angeles,2017,48.19
Madera,2010,9.52
Madera,2011,9.06
Madera,2012,10.065
Madera,2013,8.48
Madera,2014,10.66
Madera,2015,9.57
Madera,2016,6.65
Marin,2010,9.3
Marin,2012,53.705
Marin,2014,10.29
Marin,2015,10.105
Marin,2017,7.09
Mariposa,2010,7.46
Mariposa,2011,8.1
Mariposa,2012,6.0
Mariposa,2013,6.0600000000000005
Mariposa,2014,6.13
Mariposa,2015,85.35
Mariposa,2016,5.25
Mendocino,2010,12.57
Mendocino,2011,11.21
Mendocino,2012,14.18
Mendocino,2013,18.2
Mendocino,2014,12.95
Mendocino,2015,6.83
Merced,2010,9.42
Merced,2011,9.48
Merced,2012,9.6
Merced,2013,9.2
Merced,2014,9.32
Merced,2015,8.47
Merced,2016,8.94
Modoc,2010,8.57
Modoc,2011,8.075
Modoc,2012,8.565
Modoc,2013,8.940000000000001
Modoc,2014,7.4
Modoc,2015,8.35
Mono,2010,10.399999999999999
Mono,2011,10.4
Mono,2012,10.4
Mono,2013,11.7
Mono,2014,7.91
Mono,2015,7.9
Monterey,2010,12.21
Monterey,2011,13.55
Monterey,2012,17.195
Monterey,2013,14.5
Monterey,2014,17.575
Monterey,2015,14.7
Monterey,2016,13.795
Monterey,2017,14.4
Napa,2010,11.69
Napa,2011,10.76
Napa,2012,11.31
Napa,2013,50.335
Napa,2014,9.54
Napa,2015,10.39
Napa,2017,10.9
Nevada,2010,8.25
Nevada,2011,9.33
Nevada,2012,8.85
Nevada,2013,8.66
Nevada,2014,8.385
Nevada,2015,8.75
Nevada,2016,8.1
Nevada,2017,8.4
Orange,2010,5.8
Orange,2011,9.3
Orange,2012,7.51
Orange,2013,6.82
Orange,2014,7.835
Orange,2015,8.51
Orange,2016,11.46
Placer,2010,9.16
Placer,2011,8.83
Placer,2012,8.614999999999998
Placer,2013,8.21
Placer,2014,7.97
Placer,2015,7.82
Placer,2016,8.08
Placer,2017,8.4
Plumas,2010,8.545
Plumas,2011,8.22
Plumas,2012,9.0
Plumas,2013,8.01
Plumas,2014,9.1
Plumas,2015,9.2
Riverside,2010,5.995
Riverside,2011,6.300000000000001
Riverside,2012,7.335
Riverside,2013,9.07
Riverside,2014,9.14
Riverside,2015,5.2
Riverside,2016,6.205
Riverside,2017,6.35
Sacramento,2010,9.56
Sacramento,2011,10.085
Sacramento,2012,9.05
Sacramento,2013,8.64
Sacramento,2014,8.56
Sacramento,2015,8.05
Sacramento,2016,7.24
Sacramento,2017,8.08
San Benito,2010,38.135
San Benito,2011,17.9
San Benito,2012,17.634999999999998
San Benito,2013,28.29
San Benito,2014,20.95
San Benito,2015,23.015
San Benito,2016,23.0
San Benito,2017,35.82
San Bernardino,2010,8.51
San Bernardino,2011,9.76
San Bernardino,2012,8.22
San Bernardino,2013,9.1
San Bernardino,2014,9.165
San Bernardino,2015,34.1
San Bernardino,2016,44.745
San Bernardino,2017,10.67
San Diego,2010,9.25
San Diego,2011,8.774999999999999
San Diego,2012,9.3
San Diego,2013,9.28
San Diego,2014,9.19
San Diego,2015,8.52
San Diego,2016,8.83
San Diego,2017,6.8
San Joaquin,2010,8.36
San Joaquin,2011,8.71
San Joaquin,2012,7.845
San Joaquin,2013,7.63
San Joaquin,2014,6.445
San Joaquin,2015,5.33
San Joaquin,2016,5.494999999999999
San Luis Obispo,2010,12.0
San Luis Obispo,2011,12.07
San Luis Obispo,2012,17.35
San Luis Obispo,2013,12.99
San Luis Obispo,2014,12.844999999999999
San Luis Obispo,2015,16.89
San Luis Obispo,2016,24.455000000000002
San Luis Obispo,2017,16.43
San Mateo,2010,11.475
San Mateo,2011,11.45
San Mateo,2012,10.08
San Mateo,2013,12.120000000000001
San Mateo,2014,10.85
San Mateo,2015,10.73
San Mateo,2016,46.495
San Mateo,2017,9.26
Santa Barbara,2010,18.67
Santa Barbara,2011,26.96
Santa Barbara,2012,19.89
Santa Barbara,2013,20.615
Santa Barbara,2014,19.45
Santa Barbara,2015,20.845
Santa Barbara,2016,20.0
Santa Barbara,2017,19.12
Santa Barbara,2018,16.54
Santa Clara,2010,10.47
Santa Clara,2011,10.83
Santa Clara,2012,18.45
Santa Clara,2013,14.63
Santa Clara,2014,9.61
Santa Clara,2015,9.17
Santa Clara,2016,16.645
Santa Clara,2017,20.835
Santa Cruz,2010,12.78
Santa Cruz,2011,15.08
Santa Cruz,2012,23.29
Santa Cruz,2013,34.54
Santa Cruz,2014,17.435000000000002
Santa Cruz,2015,11.18
Santa Cruz,2016,16.36
Santa Cruz,2017,26.700000000000003
Shasta,2010,10.04
Shasta,2011,10.2
Shasta,2012,10.0
Shasta,2013,10.6
Shasta,2014,9.969999999999999
Shasta,2015,8.57
Shasta,2016,7.17
Sierra,2010,9.0
Sierra,2011,9.84
Sierra,2012,13.5
Sierra,2013,8.835
Sierra,2014,9.12
Sierra,2015,7.8
Siskiyou,2010,9.6
Siskiyou,2011,8.62
Siskiyou,2012,9.58
Siskiyou,2013,12.43
Siskiyou,2014,9.085
Siskiyou,2015,8.07
Solano,2010,9.67
Solano,2011,9.71
Solano,2012,9.53
Solano,2013,8.42
Solano,2014,7.59
Solano,2015,7.17
Solano,2016,7.47
Solano,2017,7.85
Sonoma,2010,12.165
Sonoma,2011,11.594999999999999
Sonoma,2012,11.155000000000001
Sonoma,2013,10.440000000000001
Sonoma,2014,10.719999999999999
Sonoma,2015,14.3
Sonoma,2016,6.585
Sonoma,2017,9.02
Stanislaus,2010,9.11
Stanislaus,2011,8.55
Stanislaus,2012,7.275
Stanislaus,2013,7.13
Stanislaus,2014,6.71
Stanislaus,2015,6.31
Stanislaus,2016,8.515
Sutter,2010,7.82
Sutter,2011,8.73
Sutter,2012,7.475
Sutter,2013,8.350000000000001
Sutter,2014,8.385
Sutter,2015,7.07
Sutter,2016,6.385
Sutter,2017,8.280000000000001
Tehama,2010,10.055
Tehama,2011,10.7
Tehama,2012,8.9
Tehama,2013,10.8
Tehama,2014,10.32
Tehama,2015,8.9
Trinity,2010,8.7
Trinity,2011,8.0
Trinity,2012,38.64
Trinity,2013,14.809999999999999
Trinity,2014,7.465
Trinity,2015,8.56
Tulare,2010,9.295
Tulare,2011,9.205
Tulare,2012,8.99
Tulare,2013,8.97
Tulare,2014,10.205
Tulare,2015,7.76
Tuolumne,2010,10.16
Tuolumne,2011,8.3
Tuolumne,2012,12.195
Tuolumne,2013,8.25
Tuolumne,2014,8.5
Tuolumne,2015,7.75
Ventura,2010,12.96
Ventura,2011,13.58
Ventura,2012,18.97
Ventura,2013,16.41
Ventura,2014,14.1
Ventura,2015,15.329999999999998
Ventura,2016,23.02
Ventura,2017,18.29
Yolo,2010,7.31
Yolo,2011,7.55
Yolo,2012,7.915
Yolo,2013,7.904999999999999
Yolo,2014,7.025
Yolo,2015,6.125
Yolo,2016,5.95
Yolo,2017,8.26
Yuba,2010,8.829999999999998
Yuba,2011,9.5
Yuba,2012,8.0
Yuba,2013,8.175
Yuba,2014,8.6
Yuba,2015,7.585
Yuba,2016,6.795
